"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",,"Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",,"Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",,"Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",,"Attribute","","",""
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","[IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","[IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","","",""
"AD_ID","広告ID","Ad ID","adID","LONG","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","","",""
"AD_TYPE","広告タイプ","Ad Type","adType","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","テキスト（説明文19-19）,テキスト（説明文33）,ショートテキスト（14・19）,ショートテキスト（12・12）,掲載位置指定テキスト,テキスト（15・90）,レスポンシブ（画像）,広告枠サイズ固定（300×250）,動的ディスプレイ,レスポンシブ（動画）,バナー（動画）,ブランドパネル クインティ,ブランドパネル クインティ 動画,ブランドパネル パノラマ,ブランドパネル パノラマ 動画,トップインパクト スクエア,トップインパクト スクエア 動画,トップインパクト クインティ,トップインパクト クインティ 動画,トップインパクト パノラマ,トップインパクト パノラマ 動画,バナー（画像）","Text (description 19-19),Text (description 33),Short Ad(14-19),Short Ad(12-12),Placement Text Ad,Text Ad(15-90),Responsive (image),Static Frame(300×250),Dynamic,Responsive (video),Banner (video),Brand Panel Quintuple,Brand Panel Quintuple Video,Brand Panel Panorama,Brand Panel Panorama Video,Top Impact Square,Top Impact Square Video,Top Impact Quintuple,Top Impact Quintuple Video,Top Impact Panorama,Top Impact Panorama Video,Banner (image)",""
"URL_ID","リンク先URLID","Destination URL ID","destinationURLID","LONG","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","","",""
"URL_NAME","リンク先URL","Destination URL","destinationURL","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","","",""
"PREF_ID","都道府県ID","Prefecture ID","prefectureID","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"PREF_NAME","都道府県","Prefectures","prefecture","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"CITY_ID","市区郡ID","City ID","cityID","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"CITY_NAME","市区郡","City","city","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"WARD_ID","行政区ID","Ward ID","wardID","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"WARD_NAME","行政区","Ward","ward","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"GENDER","性別","Gender","gender","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","男性,女性,不明,男性（推定）,女性（推定）","Male,Female,Unknown,Male (predicted),Female (predicted)",""
