"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"TOUCHPOINT_1","接点1","Touchpoint1","touchpoint1","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_1","接点1の行動","Interaction At Touchpoint1","interactionAtTouchpoint1","STRING",,"Attribute","","",""
"TOUCHPOINT_1_INTERACTIONS","接点1の回数","Touchpoint 1 Interactions","touchpoint1Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_2","接点2","Touchpoint2","touchpoint2","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_2","接点2の行動","Interaction At Touchpoint2","interactionAtTouchpoint2","STRING",,"Attribute","","",""
"TOUCHPOINT_2_INTERACTIONS","接点2の回数","Touchpoint 2 Interactions","touchpoint2Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_3","接点3","Touchpoint3","touchpoint3","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_3","接点3の行動","Interaction At Touchpoint3","interactionAtTouchpoint3","STRING",,"Attribute","","",""
"TOUCHPOINT_3_INTERACTIONS","接点3の回数","Touchpoint 3 Interactions","touchpoint3Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_4","接点4","Touchpoint4","touchpoint4","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_4","接点4の行動","Interaction At Touchpoint4","interactionAtTouchpoint4","STRING",,"Attribute","","",""
"TOUCHPOINT_4_INTERACTIONS","接点4の回数","Touchpoint 4 Interactions","touchpoint4Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_5","接点5","Touchpoint5","touchpoint5","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_5","接点5の行動","Interaction At Touchpoint5","interactionAtTouchpoint5","STRING",,"Attribute","","",""
"TOUCHPOINT_5_INTERACTIONS","接点5の回数","Touchpoint 5 Interactions","touchpoint5Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_6","接点6","Touchpoint6","touchpoint6","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_6","接点6の行動","Interaction At Touchpoint6","interactionAtTouchpoint6","STRING",,"Attribute","","",""
"TOUCHPOINT_6_INTERACTIONS","接点6の回数","Touchpoint 6 Interactions","touchpoint6Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_7","接点7","Touchpoint7","touchpoint7","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_7","接点7の行動","Interaction At Touchpoint7","interactionAtTouchpoint7","STRING",,"Attribute","","",""
"TOUCHPOINT_7_INTERACTIONS","接点7の回数","Touchpoint 7 Interactions","touchpoint7Interactions","LONG",,"Attribute","","",""
